month|int,forward_rate|float
0,0
1,0.0004625
2,0.0004625
3,0.0004625
4,0.0004625
5,0.0004625
6,0.0004625
7,0.0004625
8,0.0004625
9,0.0004625
10,0.0004625
11,0.0004625
12,0.0004625
13,0.000677638
14,0.000677638
15,0.000677638
16,0.000677638
17,0.000677638
18,0.000677638
19,0.000677638
20,0.000677638
21,0.000677638
22,0.000677638
23,0.000677638
24,0.000677638
25,0.000830269
26,0.000830269
27,0.000830269
28,0.000830269
29,0.000830269
30,0.000830269
31,0.000830269
32,0.000830269
33,0.000830269
34,0.000830269
35,0.000830269
36,0.000830269
37,0.000916969
38,0.000916969
39,0.000916969
40,0.000916969
41,0.000916969
42,0.000916969
43,0.000916969
44,0.000916969
45,0.000916969
46,0.000916969
47,0.000916969
48,0.000916969
49,0.001017917
50,0.001017917
51,0.001017917
52,0.001017917
53,0.001017917
54,0.001017917
55,0.001017917
56,0.001017917
57,0.001017917
58,0.001017917
59,0.001017917
60,0.001017917
61,0.00108128
62,0.00108128
63,0.00108128
64,0.00108128
65,0.00108128
66,0.00108128
67,0.00108128
68,0.00108128
69,0.00108128
70,0.00108128
71,0.00108128
72,0.00108128
73,0.001140487
74,0.001140487
75,0.001140487
76,0.001140487
77,0.001140487
78,0.001140487
79,0.001140487
80,0.001140487
81,0.001140487
82,0.001140487
83,0.001140487
84,0.001140487
85,0.001195533
86,0.001195533
87,0.001195533
88,0.001195533
89,0.001195533
90,0.001195533
91,0.001195533
92,0.001195533
93,0.001195533
94,0.001195533
95,0.001195533
96,0.001195533
97,0.001260629
98,0.001260629
99,0.001260629
100,0.001260629
101,0.001260629
102,0.001260629
103,0.001260629
104,0.001260629
105,0.001260629
106,0.001260629
107,0.001260629
108,0.001260629
109,0.001320719
110,0.001320719
111,0.001320719
112,0.001320719
113,0.001320719
114,0.001320719
115,0.001320719
116,0.001320719
117,0.001320719
118,0.001320719
119,0.001320719
120,0.001320719
121,0.001338988
122,0.001338988
123,0.001338988
124,0.001338988
125,0.001338988
126,0.001338988
127,0.001338988
128,0.001338988
129,0.001338988
130,0.001338988
131,0.001338988
132,0.001338988
133,0.001352259
134,0.001352259
135,0.001352259
136,0.001352259
137,0.001352259
138,0.001352259
139,0.001352259
140,0.001352259
141,0.001352259
142,0.001352259
143,0.001352259
144,0.001352259
145,0.001331268
146,0.001331268
147,0.001331268
148,0.001331268
149,0.001331268
150,0.001331268
151,0.001331268
152,0.001331268
153,0.001331268
154,0.001331268
155,0.001331268
156,0.001331268
157,0.001339563
158,0.001339563
159,0.001339563
160,0.001339563
161,0.001339563
162,0.001339563
163,0.001339563
164,0.001339563
165,0.001339563
166,0.001339563
167,0.001339563
168,0.001339563
169,0.001365418
170,0.001365418
171,0.001365418
172,0.001365418
173,0.001365418
174,0.001365418
175,0.001365418
176,0.001365418
177,0.001365418
178,0.001365418
179,0.001365418
180,0.001365418
181,0.001308556
182,0.001308556
183,0.001308556
184,0.001308556
185,0.001308556
186,0.001308556
187,0.001308556
188,0.001308556
189,0.001308556
190,0.001308556
191,0.001308556
192,0.001308556
193,0.001305189
194,0.001305189
195,0.001305189
196,0.001305189
197,0.001305189
198,0.001305189
199,0.001305189
200,0.001305189
201,0.001305189
202,0.001305189
203,0.001305189
204,0.001305189
205,0.001281793
206,0.001281793
207,0.001281793
208,0.001281793
209,0.001281793
210,0.001281793
211,0.001281793
212,0.001281793
213,0.001281793
214,0.001281793
215,0.001281793
216,0.001281793
217,0.001250902
218,0.001250902
219,0.001250902
220,0.001250902
221,0.001250902
222,0.001250902
223,0.001250902
224,0.001250902
225,0.001250902
226,0.001250902
227,0.001250902
228,0.001250902
229,0.001195847
230,0.001195847
231,0.001195847
232,0.001195847
233,0.001195847
234,0.001195847
235,0.001195847
236,0.001195847
237,0.001195847
238,0.001195847
239,0.001195847
240,0.001195847
241,0.001165835
242,0.001165835
243,0.001165835
244,0.001165835
245,0.001165835
246,0.001165835
247,0.001165835
248,0.001165835
249,0.001165835
250,0.001165835
251,0.001165835
252,0.001165835
253,0.001094184
254,0.001094184
255,0.001094184
256,0.001094184
257,0.001094184
258,0.001094184
259,0.001094184
260,0.001094184
261,0.001094184
262,0.001094184
263,0.001094184
264,0.001094184
265,0.001089185
266,0.001089185
267,0.001089185
268,0.001089185
269,0.001089185
270,0.001089185
271,0.001089185
272,0.001089185
273,0.001089185
274,0.001089185
275,0.001089185
276,0.001089185
277,0.001064203
278,0.001064203
279,0.001064203
280,0.001064203
281,0.001064203
282,0.001064203
283,0.001064203
284,0.001064203
285,0.001064203
286,0.001064203
287,0.001064203
288,0.001064203
289,0.001057539
290,0.001057539
291,0.001057539
292,0.001057539
293,0.001057539
294,0.001057539
295,0.001057539
296,0.001057539
297,0.001057539
298,0.001057539
299,0.001057539
300,0.001057539
301,0.001050876
302,0.001050876
303,0.001050876
304,0.001050876
305,0.001050876
306,0.001050876
307,0.001050876
308,0.001050876
309,0.001050876
310,0.001050876
311,0.001050876
312,0.001050876
313,0.001021739
314,0.001021739
315,0.001021739
316,0.001021739
317,0.001021739
318,0.001021739
319,0.001021739
320,0.001021739
321,0.001021739
322,0.001021739
323,0.001021739
324,0.001021739
325,0.001013411
326,0.001013411
327,0.001013411
328,0.001013411
329,0.001013411
330,0.001013411
331,0.001013411
332,0.001013411
333,0.001013411
334,0.001013411
335,0.001013411
336,0.001013411
337,0.001005083
338,0.001005083
339,0.001005083
340,0.001005083
341,0.001005083
342,0.001005083
343,0.001005083
344,0.001005083
345,0.001005083
346,0.001005083
347,0.001005083
348,0.001005083
349,0.000971795
350,0.000971795
351,0.000971795
352,0.000971795
353,0.000971795
354,0.000971795
355,0.000971795
356,0.000971795
357,0.000971795
358,0.000971795
359,0.000971795
360,0.000971795
361,0.000936021
362,0.000936021
363,0.000936021
364,0.000936021
365,0.000936021
366,0.000936021
367,0.000936021
368,0.000936021
369,0.000936021
370,0.000936021
371,0.000936021
372,0.000936021
373,0.000897761
374,0.000897761
375,0.000897761
376,0.000897761
377,0.000897761
378,0.000897761
379,0.000897761
380,0.000897761
381,0.000897761
382,0.000897761
383,0.000897761
384,0.000897761
385,0.000857018
386,0.000857018
387,0.000857018
388,0.000857018
389,0.000857018
390,0.000857018
391,0.000857018
392,0.000857018
393,0.000857018
394,0.000857018
395,0.000857018
396,0.000857018
397,0.000813794
398,0.000813794
399,0.000813794
400,0.000813794
401,0.000813794
402,0.000813794
403,0.000813794
404,0.000813794
405,0.000813794
406,0.000813794
407,0.000813794
408,0.000813794
409,0.000768092
410,0.000768092
411,0.000768092
412,0.000768092
413,0.000768092
414,0.000768092
415,0.000768092
416,0.000768092
417,0.000768092
418,0.000768092
419,0.000768092
420,0.000768092
421,0.000719912
422,0.000719912
423,0.000719912
424,0.000719912
425,0.000719912
426,0.000719912
427,0.000719912
428,0.000719912
429,0.000719912
430,0.000719912
431,0.000719912
432,0.000719912
433,0.000699955
434,0.000699955
435,0.000699955
436,0.000699955
437,0.000699955
438,0.000699955
439,0.000699955
440,0.000699955
441,0.000699955
442,0.000699955
443,0.000699955
444,0.000699955
445,0.000711532
446,0.000711532
447,0.000711532
448,0.000711532
449,0.000711532
450,0.000711532
451,0.000711532
452,0.000711532
453,0.000711532
454,0.000711532
455,0.000711532
456,0.000711532
457,0.000725609
458,0.000725609
459,0.000725609
460,0.000725609
461,0.000725609
462,0.000725609
463,0.000725609
464,0.000725609
465,0.000725609
466,0.000725609
467,0.000725609
468,0.000725609
469,0.000742186
470,0.000742186
471,0.000742186
472,0.000742186
473,0.000742186
474,0.000742186
475,0.000742186
476,0.000742186
477,0.000742186
478,0.000742186
479,0.000742186
480,0.000742186
481,0.000829409
482,0.000829409
483,0.000829409
484,0.000829409
485,0.000829409
486,0.000829409
487,0.000829409
488,0.000829409
489,0.000829409
490,0.000829409
491,0.000829409
492,0.000829409
493,0.000819422
494,0.000819422
495,0.000819422
496,0.000819422
497,0.000819422
498,0.000819422
499,0.000819422
500,0.000819422
501,0.000819422
502,0.000819422
503,0.000819422
504,0.000819422
505,0.000773697
506,0.000773697
507,0.000773697
508,0.000773697
509,0.000773697
510,0.000773697
511,0.000773697
512,0.000773697
513,0.000773697
514,0.000773697
515,0.000773697
516,0.000773697
517,0.000725498
518,0.000725498
519,0.000725498
520,0.000725498
521,0.000725498
522,0.000725498
523,0.000725498
524,0.000725498
525,0.000725498
526,0.000725498
527,0.000725498
528,0.000725498
529,0.000600151
530,0.000600151
531,0.000600151
532,0.000600151
533,0.000600151
534,0.000600151
535,0.000600151
536,0.000600151
537,0.000600151
538,0.000600151
539,0.000600151
540,0.000600151
541,0.000505604
542,0.000505604
543,0.000505604
544,0.000505604
545,0.000505604
546,0.000505604
547,0.000505604
548,0.000505604
549,0.000505604
550,0.000505604
551,0.000505604
552,0.000505604
553,0.000522946
554,0.000522946
555,0.000522946
556,0.000522946
557,0.000522946
558,0.000522946
559,0.000522946
560,0.000522946
561,0.000522946
562,0.000522946
563,0.000522946
564,0.000522946
565,0.000582594
566,0.000582594
567,0.000582594
568,0.000582594
569,0.000582594
570,0.000582594
571,0.000582594
572,0.000582594
573,0.000582594
574,0.000582594
575,0.000582594
576,0.000582594
577,0.000810155
578,0.000810155
579,0.000810155
580,0.000810155
581,0.000810155
582,0.000810155
583,0.000810155
584,0.000810155
585,0.000810155
586,0.000810155
587,0.000810155
588,0.000810155
589,0.001053374
590,0.001053374
591,0.001053374
592,0.001053374
593,0.001053374
594,0.001053374
595,0.001053374
596,0.001053374
597,0.001053374
598,0.001053374
599,0.001053374
600,0.001053374
601,0.00144044
602,0.00144044
603,0.00144044
604,0.00144044
605,0.00144044
606,0.00144044
607,0.00144044
608,0.00144044
609,0.00144044
610,0.00144044
611,0.00144044
612,0.00144044
613,0.00167697
614,0.00167697
615,0.00167697
616,0.00167697
617,0.00167697
618,0.00167697
619,0.00167697
620,0.00167697
621,0.00167697
622,0.00167697
623,0.00167697
624,0.00167697
625,0.001971346
626,0.001971346
627,0.001971346
628,0.001971346
629,0.001971346
630,0.001971346
631,0.001971346
632,0.001971346
633,0.001971346
634,0.001971346
635,0.001971346
636,0.001971346
637,0.0021905
638,0.0021905
639,0.0021905
640,0.0021905
641,0.0021905
642,0.0021905
643,0.0021905
644,0.0021905
645,0.0021905
646,0.0021905
647,0.0021905
648,0.0021905
649,0.002373665
650,0.002373665
651,0.002373665
652,0.002373665
653,0.002373665
654,0.002373665
655,0.002373665
656,0.002373665
657,0.002373665
658,0.002373665
659,0.002373665
660,0.002373665
661,0.002517246
662,0.002517246
663,0.002517246
664,0.002517246
665,0.002517246
666,0.002517246
667,0.002517246
668,0.002517246
669,0.002517246
670,0.002517246
671,0.002517246
672,0.002517246
673,0.002617689
674,0.002617689
675,0.002617689
676,0.002617689
677,0.002617689
678,0.002617689
679,0.002617689
680,0.002617689
681,0.002617689
682,0.002617689
683,0.002617689
684,0.002617689
685,0.00276998
686,0.00276998
687,0.00276998
688,0.00276998
689,0.00276998
690,0.00276998
691,0.00276998
692,0.00276998
693,0.00276998
694,0.00276998
695,0.00276998
696,0.00276998
697,0.002877345
698,0.002877345
699,0.002877345
700,0.002877345
701,0.002877345
702,0.002877345
703,0.002877345
704,0.002877345
705,0.002877345
706,0.002877345
707,0.002877345
708,0.002877345
709,0.002936272
710,0.002936272
711,0.002936272
712,0.002936272
713,0.002936272
714,0.002936272
715,0.002936272
716,0.002936272
717,0.002936272
718,0.002936272
719,0.002936272
720,0.002936272
721,0.003047121
722,0.003047121
723,0.003047121
724,0.003047121
725,0.003047121
726,0.003047121
727,0.003047121
728,0.003047121
729,0.003047121
730,0.003047121
731,0.003047121
732,0.003047121
733,0.003054989
734,0.003054989
735,0.003054989
736,0.003054989
737,0.003054989
738,0.003054989
739,0.003054989
740,0.003054989
741,0.003054989
742,0.003054989
743,0.003054989
744,0.003054989
745,0.003113946
746,0.003113946
747,0.003113946
748,0.003113946
749,0.003113946
750,0.003113946
751,0.003397032
752,0.003736735
753,0.004151928
754,0.004670919
755,0.005338193
756,0.006227892
757,0.006227892
758,0.006227892
759,0.006227892
760,0.006227892
761,0.006227892
